納品先名,郵便番号,住所,電話番号,FAX番号,入荷時間,バース予約,パレット条件,JPRコード,納品方法
新潟ＤＤＣ,950-1348,新潟県新潟市西蒲区打越丙160-1,025-375-0061,025-375-0050,6:00～11:00,,,,
新北関東ＤＤＣ,323-0152,栃木県小山市大字延島字瀬窪2705番 北関東ロジD棟,0285-39-3831,0285-39-3832,8:00～11:00,,,,
埼京ＤＤＣ,278-0016,千葉県野田市二つ塚字溜井1-1-1,04-7126-2511,04-7124-8110,7:00～11:00,,,,
京葉ＤＤＣ,273-0015,千葉県船橋市日の出2-16-3,047-420-0981,047-420-0982,8:00～11:00,,,,
西関東ＤＤＣ,350-0833,埼玉県川越市芳野台3丁目2番3号,049-229-3500,049-229-3510,6:00～10:30,,,,
京浜ＤＤＣ,230-0053,神奈川県横浜市鶴見区大黒町5-39,045-500-4601,045-500-4604,7:00～11:00,,,,
北埼玉菓子ＤＤＣ,345-0012,埼玉県北葛飾郡杉戸町大字深輪398-2GLP杉戸Ⅱ5F,0480-38-2555,0480-38-1020,7:30～11:00,,,,
甲信ＤＤＣ,399-8204,長野県安曇市豊科高家2287-10,0263-72-4101,0263-71-4606,8:00～10:30,,,,
山陽ＤＤＣ,713-8103,岡山県倉敷市玉島乙島字新湊8256-39,086-523-5511,086-523-5522,7:30～11:00,,,,
広島サテライト,738-0039,広島県広島市安佐南区伴南2-2-38(双葉運輸西風新都物流センター内）,082-836-3222,なし,7:00～11:00,,,,
広島ＤＤＣ,731-3168,広島県広島市安佐南区伴南2-2-38（双葉運輸西風新都物流センター内）,082-836-3222,082-848-5200,7:00～11:00,,,,
山陰ＤＤＣ,684-0046,鳥取県境港市竹内団地61,0859-47-2500,0859-45-3700,7:00～11:00,,,,
中九州ＤＤＣ,841-0203,佐賀県三養基郡基山町大字園部字弥生が丘5005番地,0942-87-9810,0942-87-9991,8:00～11:00,,,,
熊本サテライト,862-0967,熊本県熊本市南区流通団地2-20-1,096-379-5551,096-379-2229,8:00～11:00,,,,
南九州ＤＤＣ,899-8606,鹿児島県曽於市末吉町深川字内村11111-5,0986-28-0022,0986-28-0026,8:00～11:00,,,,
道央ＤＤＣ,061-1274,北海道北広島市大曲工業団地7-3-5,011-377-3511,011-377-1118,7:00～11:00,,,,
北東北ＤＤＣ,020-0151,岩手県滝沢市大釜字風林3-18,019-691-9550,019-691-9555,7:00～10:30,,,,
青森サテライト,038-0031,青森県青森市大字三内字丸山318番地,017-761-4035,017-761-4036,10:00～11:30,,,,
南東北ＤＤＣ,981-3206,宮城県仙台市泉区明通2-9-1,022-725-4510,022-725-4512,8:00～11:00,,,,
東海ＤＤＣ,476-0006,愛知県東海市浅山1-15,052-689-0881,052-601-7778,7:00～10:30,,,,
愛岐ＤＤＣ,482-0017,愛知県岩倉市北島町白山３－１（水野精麦倉庫内）,0587-65-4481,0587-65-4484,8:00～10:30,,,,
静岡ＤＤＣ,417-0801,静岡県富士市大淵2261-6 富士山フロント工業団地B-2,0545-37-1301,0545-37-2233,8:00～11:00,,,,
北陸ＤＤＣ,920-0356,石川県金沢市専光寺ヨ8番地日本通運第二物流センター内,076-267-8810,076-267-8816,8:00～11:00,,,,
京滋ＤＤＣ,614-8128,京都府八幡市下奈良野神46,075-971-5610,075-971-5616,7:00～10:30,,,,
滋賀サテライト,527-0113,滋賀県東近江市池庄町2145,074-929-9020,なし,8:00～11:00,,,,
